agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,35.412129,35.412129
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8772,,71.0,0,,35.612645
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7996,,91.0,1,,35.612645
P0,,,pi_flash,1.775437,,,,0.101129,,,,36.012497
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,36.012497,36.012497
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9474,,75.0,0,,36.152161
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8605,,97.0,1,,36.152161
P0,,,pi_flash,1.757491,,,,0.210802,,,,36.626508
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,36.626508,36.626508
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8103,,67.0,0,,36.779586
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9423,,108.0,1,,36.779586
P0,,,pi_flash,1.743544,,,,0.466881,,,,37.260713
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,37.260713,37.260713
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7797,,66.0,0,,37.413486
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7387,,92.0,1,,37.413486
P0,,,pi_flash,1.710063,,,,0.056635,,,,37.846855
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,37.846855,37.846855
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8103,,67.0,0,,37.958769
V1,,0,pi_detected_virtual_flash,,0.0,1,0.934,,109.0,1,,37.958769
P0,,,pi_flash,1.700365,,,,0.074281,,,,38.447294
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,38.447294,38.447294
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8136,,68.0,0,,38.591884
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7679,,96.0,1,,38.591884
P0,,,pi_flash,1.678677,,,,0.092828,,,,39.064761
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,39.064761,39.064761
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8644,,71.0,0,,39.259395
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7297,,91.0,1,,39.259395
P0,,,pi_flash,1.650223,,,,0.119693,,,,39.715032
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,39.715032,39.715032
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9153,,74.0,0,,39.881499
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7946,,99.0,1,,39.881499
P0,,,pi_flash,1.632213,,,,0.263223,,,,40.379227
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,40.379227,40.379227
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7458,,64.0,0,,40.515372
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7824,,97.0,1,,40.515372
P0,,,pi_flash,1.616054,,,,0.051413,,,,41.015663
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,41.015663,41.015663
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6655,,84.0,1,,41.149174
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7297,,63.0,0,,41.192829
P0,,,pi_flash,1.603724,,,,0.105278,,,,41.682796
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,41.682796,41.682796
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7635,,65.0,0,,41.785211
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7103,,86.0,1,,41.785211
V0,,0,pi_detected_virtual_flash,,0.0,1,0.689,,60.0,0,,42.349679
V1,,0,pi_detected_virtual_flash,,0.0,1,0.846,,99.0,1,,42.349679
P0,,,pi_flash,1.595732,,,,0.419555,,,,42.349679
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,42.349679,42.349679
P0,,,pi_flash,1.592278,,,,0.313718,,,,42.967098
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,42.967098,42.967098
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8,,67.0,0,,43.11728
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7143,,87.0,1,,43.11728
P0,,,pi_flash,1.58998,,,,0.227017,,,,43.618056
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,43.618056,43.618056
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6923,,60.0,0,,43.750941
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8558,,99.0,1,,43.750941
P0,,,pi_flash,1.586792,,,,0.225131,,,,44.288297
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,44.288297,44.288297
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6923,,60.0,0,,44.391035
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9146,,101.0,1,,44.391035
P0,,,pi_flash,1.582947,,,,0.08966,,,,44.918406
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,44.918406,44.918406
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8466,,95.0,1,,45.02615
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8621,,70.0,0,,45.052639
P0,,,pi_flash,1.579506,,,,0.272874,,,,45.585232
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,45.585232,45.585232
